iter	Passed	Remaining
0	3	3649
1	6	3284
2	9	3279
3	12	3205
4	15	3181
5	18	3124
6	21	3101
7	24	3089
8	27	3069
9	30	3047
10	33	3026
11	36	3028
12	39	3016
13	42	2999
14	45	2997
15	48	2979
16	51	2971
17	54	2979
18	57	2971
19	60	2955
20	63	2939
21	65	2928
22	68	2917
23	71	2915
24	74	2915
25	77	2906
26	80	2894
27	83	2889
28	85	2878
29	88	2874
30	91	2873
31	95	2876
32	97	2869
33	100	2862
34	103	2853
35	106	2846
36	109	2841
37	112	2836
38	115	2833
39	117	2830
40	120	2822
41	123	2819
42	126	2812
43	129	2805
44	132	2802
45	134	2794
46	137	2791
47	140	2788
48	143	2785
49	146	2779
50	149	2774
51	151	2770
52	154	2766
53	157	2763
54	160	2763
55	163	2756
56	166	2753
57	169	2750
58	172	2745
59	174	2740
60	177	2737
61	180	2732
62	183	2727
63	186	2724
64	189	2722
65	192	2718
66	194	2715
67	197	2711
68	200	2708
69	203	2706
70	206	2702
71	209	2699
72	212	2695
73	215	2692
74	218	2688
75	220	2686
76	224	2685
77	226	2680
78	229	2677
79	232	2674
80	235	2670
81	238	2670
82	241	2665
83	244	2663
84	247	2661
85	250	2658
86	252	2653
87	255	2649
88	258	2645
89	261	2643
90	264	2637
91	266	2634
92	269	2631
93	272	2628
94	275	2624
95	278	2622
96	281	2620
97	284	2617
98	287	2612
99	289	2608
100	292	2604
101	296	2608
102	299	2604
103	301	2600
104	304	2595
105	307	2592
106	310	2588
107	312	2584
108	315	2581
109	318	2578
110	321	2575
111	324	2572
112	327	2569
113	330	2566
114	333	2563
115	336	2560
116	338	2558
117	342	2559
118	345	2556
119	348	2552
120	351	2550
121	353	2546
122	356	2544
123	360	2543
124	362	2539
125	365	2535
126	368	2531
127	371	2527
128	373	2524
129	376	2521
130	379	2517
131	382	2516
132	385	2513
133	388	2509
134	391	2506
135	393	2502
136	396	2498
137	399	2494
138	402	2491
139	405	2489
140	408	2486
141	410	2482
142	413	2479
143	416	2476
144	419	2474
145	422	2471
146	425	2468
147	428	2464
148	430	2460
149	433	2457
150	436	2453
151	439	2449
152	441	2445
153	444	2441
154	447	2438
155	450	2434
156	452	2431
157	455	2428
158	458	2424
159	461	2421
160	463	2417
161	466	2414
162	469	2409
163	472	2407
164	475	2404
165	477	2400
166	480	2396
167	483	2394
168	486	2390
169	488	2386
170	491	2383
171	494	2380
172	497	2377
173	500	2375
174	503	2372
175	505	2368
176	508	2365
177	511	2361
178	514	2358
179	517	2356
180	519	2352
181	522	2349
182	525	2345
183	528	2343
184	531	2339
185	533	2336
186	536	2333
187	539	2329
188	542	2329
189	545	2326
190	548	2324
191	551	2321
192	554	2318
193	557	2315
194	560	2313
195	563	2310
196	565	2306
197	568	2303
198	571	2301
199	574	2297
200	577	2294
201	579	2291
202	582	2288
203	585	2285
204	588	2283
205	591	2281
206	594	2278
207	598	2278
208	601	2275
209	604	2272
210	606	2268
211	609	2265
212	612	2264
213	615	2260
214	618	2258
215	621	2255
216	623	2251
217	626	2248
218	629	2245
219	632	2241
220	635	2238
221	638	2237
222	641	2234
223	644	2231
224	646	2228
225	649	2225
226	652	2222
227	655	2218
228	658	2215
229	660	2212
230	663	2209
231	666	2206
232	669	2203
233	672	2200
234	675	2197
235	677	2194
236	680	2191
237	683	2188
238	686	2185
239	689	2182
240	692	2179
241	694	2176
242	697	2173
243	700	2170
244	703	2167
245	706	2165
246	709	2161
247	711	2158
248	714	2155
249	717	2152
250	720	2150
251	723	2147
252	726	2143
253	728	2140
254	731	2137
255	734	2135
256	737	2132
257	740	2130
258	743	2127
259	746	2124
260	749	2121
261	751	2118
262	754	2114
263	757	2112
264	760	2109
265	763	2106
266	766	2103
267	769	2100
268	771	2097
269	774	2094
270	777	2091
271	780	2088
272	783	2086
273	786	2082
274	788	2079
275	791	2076
276	794	2073
277	797	2070
278	800	2068
279	803	2065
280	806	2063
281	809	2060
282	812	2057
283	814	2054
284	817	2052
285	820	2049
286	823	2045
287	826	2042
288	828	2039
289	831	2036
290	834	2033
291	837	2030
292	840	2027
293	842	2023
294	845	2020
295	848	2017
296	851	2015
297	854	2012
298	857	2009
299	860	2007
300	862	2004
301	865	2001
302	868	1998
303	871	1994
304	875	1994
305	878	1991
306	881	1988
307	883	1985
308	886	1982
309	889	1979
310	892	1976
311	894	1973
312	897	1970
313	900	1967
314	903	1964
315	906	1961
316	908	1958
317	912	1956
318	914	1953
319	917	1950
320	920	1946
321	923	1944
322	926	1941
323	929	1938
324	932	1935
325	934	1932
326	937	1929
327	940	1926
328	943	1923
329	946	1921
330	949	1918
331	951	1915
332	954	1912
333	957	1909
334	960	1906
335	963	1903
336	965	1900
337	968	1897
338	971	1895
339	974	1891
340	977	1888
341	980	1885
342	983	1883
343	985	1880
344	988	1877
345	991	1874
346	994	1871
347	997	1868
348	1000	1866
349	1003	1863
350	1006	1860
351	1008	1857
352	1011	1854
353	1014	1851
354	1017	1848
355	1020	1845
356	1023	1842
357	1025	1839
358	1028	1836
359	1031	1833
360	1034	1830
361	1036	1827
362	1039	1824
363	1042	1821
364	1045	1818
365	1048	1815
366	1050	1812
367	1053	1809
368	1056	1806
369	1059	1803
370	1062	1800
371	1064	1797
372	1067	1794
373	1070	1791
374	1073	1788
375	1076	1785
376	1079	1783
377	1081	1780
378	1084	1777
379	1087	1774
380	1090	1771
381	1092	1768
382	1095	1765
383	1098	1762
384	1101	1759
385	1104	1756
386	1107	1753
387	1109	1750
388	1112	1747
389	1115	1745
390	1118	1742
391	1121	1739
392	1124	1736
393	1127	1733
394	1129	1730
395	1132	1727
396	1136	1725
397	1139	1722
398	1141	1720
399	1144	1717
400	1147	1714
401	1150	1711
402	1153	1709
403	1156	1706
404	1159	1703
405	1162	1700
406	1165	1697
407	1167	1694
408	1170	1691
409	1173	1688
410	1176	1685
411	1178	1682
412	1181	1679
413	1184	1677
414	1187	1674
415	1190	1671
416	1193	1668
417	1196	1665
418	1199	1662
419	1201	1659
420	1204	1656
421	1207	1653
422	1210	1651
423	1213	1648
424	1216	1645
425	1218	1642
426	1221	1639
427	1224	1636
428	1227	1633
429	1229	1630
430	1232	1627
431	1235	1624
432	1238	1621
433	1241	1618
434	1243	1615
435	1246	1612
436	1249	1610
437	1252	1607
438	1255	1604
439	1258	1601
440	1261	1598
441	1264	1596
442	1267	1593
443	1270	1590
444	1273	1587
445	1276	1585
446	1278	1582
447	1281	1579
448	1284	1576
449	1287	1573
450	1290	1571
451	1293	1568
452	1296	1565
453	1299	1562
454	1302	1559
455	1305	1557
456	1308	1554
457	1310	1551
458	1313	1548
459	1316	1545
460	1319	1542
461	1322	1540
462	1325	1537
463	1328	1534
464	1331	1531
465	1333	1528
466	1336	1525
467	1339	1522
468	1342	1519
469	1345	1516
470	1347	1513
471	1350	1511
472	1353	1508
473	1356	1505
474	1359	1502
475	1362	1499
476	1364	1496
477	1367	1493
478	1370	1490
479	1373	1487
480	1376	1484
481	1378	1481
482	1381	1478
483	1384	1475
484	1388	1473
485	1390	1471
486	1393	1467
487	1396	1464
488	1399	1462
489	1402	1459
490	1405	1456
491	1407	1453
492	1410	1450
493	1413	1447
494	1416	1444
495	1419	1442
496	1422	1439
497	1424	1436
498	1427	1433
499	1430	1430
500	1433	1427
501	1436	1424
502	1439	1421
503	1441	1418
504	1444	1415
505	1447	1413
506	1450	1410
507	1452	1407
508	1455	1404
509	1458	1401
510	1460	1398
511	1463	1394
512	1466	1391
513	1469	1389
514	1471	1386
515	1474	1383
516	1477	1380
517	1480	1377
518	1483	1374
519	1485	1371
520	1488	1368
521	1491	1365
522	1493	1362
523	1496	1359
524	1499	1356
525	1501	1353
526	1504	1350
527	1507	1347
528	1510	1344
529	1512	1341
530	1515	1338
531	1518	1335
532	1521	1332
533	1524	1330
534	1526	1327
535	1529	1324
536	1533	1321
537	1536	1319
538	1538	1316
539	1541	1313
540	1544	1310
541	1547	1307
542	1549	1304
543	1552	1301
544	1555	1298
545	1558	1295
546	1561	1293
547	1564	1290
548	1567	1287
549	1569	1284
550	1572	1281
551	1575	1278
552	1578	1276
553	1581	1273
554	1584	1270
555	1587	1267
556	1590	1264
557	1592	1261
558	1595	1258
559	1598	1255
560	1601	1253
561	1604	1250
562	1607	1247
563	1609	1244
564	1612	1241
565	1615	1238
566	1618	1235
567	1621	1233
568	1624	1230
569	1627	1227
570	1630	1225
571	1633	1222
