iter	RMSE
0	29.81331664
1	29.70644843
2	29.62194497
3	29.5435569
4	29.47216542
5	29.42075072
6	29.36686029
7	29.3254734
8	29.29107184
9	29.26022604
10	29.2331429
11	29.20596462
12	29.18370828
13	29.16090839
14	29.14208664
15	29.12274555
16	29.10493856
17	29.0916785
18	29.08496424
19	29.06540599
20	29.05147416
21	29.03919631
22	29.03173519
23	29.01900636
24	29.01038295
25	28.99985145
26	28.98907332
27	28.98414031
28	28.97915447
29	28.97241137
30	28.96181631
31	28.95269629
32	28.9418807
33	28.93810592
34	28.93114484
35	28.92497877
36	28.91704841
37	28.91048151
38	28.90220449
39	28.89475312
40	28.89186184
41	28.88334901
42	28.8804802
43	28.87008638
44	28.86379927
45	28.85360071
46	28.84563519
47	28.84097644
48	28.83727624
49	28.83521404
50	28.83238342
51	28.83085313
52	28.82505997
53	28.82140001
54	28.81966551
55	28.81796851
56	28.80990174
57	28.80318209
58	28.79944996
59	28.79804992
60	28.79560626
61	28.78938256
62	28.78591122
63	28.78441328
64	28.78141887
65	28.77837717
66	28.77551004
67	28.76888192
68	28.7623254
69	28.75971952
70	28.75479893
71	28.75260739
72	28.75165696
73	28.74943608
74	28.74711336
75	28.74182635
76	28.74073143
77	28.73931804
78	28.73410744
79	28.72830841
80	28.72580362
81	28.72377311
82	28.71999095
83	28.71599477
84	28.71226608
85	28.71047438
86	28.70441926
87	28.69985054
88	28.69551895
89	28.690774
90	28.68795291
91	28.68500611
92	28.67978026
93	28.67418659
94	28.67082909
95	28.66563935
96	28.66472948
97	28.6628004
98	28.66004383
99	28.65430306
100	28.65026433
101	28.64858091
102	28.64780857
103	28.64643805
104	28.64268689
105	28.63888735
106	28.63587291
107	28.63184537
108	28.6266772
109	28.62430599
110	28.62299175
111	28.62126033
112	28.61801856
113	28.61606939
114	28.61334995
115	28.6118201
116	28.61096375
117	28.60938995
118	28.60561866
119	28.60217355
120	28.59982554
121	28.59658928
122	28.59445567
123	28.59265375
124	28.5909329
125	28.5888209
126	28.5857358
127	28.5845541
128	28.58308684
129	28.5796746
130	28.57487666
131	28.5722827
132	28.57046123
133	28.56838767
134	28.56460661
135	28.56100034
136	28.55803183
137	28.55541981
138	28.5510358
139	28.54509033
140	28.5425957
141	28.54075914
142	28.53705773
143	28.53541176
144	28.53168505
145	28.52905657
146	28.52615583
147	28.52328323
148	28.51922797
149	28.51367399
150	28.51201241
151	28.50975081
152	28.50804489
153	28.50661737
154	28.50458183
155	28.50030659
156	28.49738733
157	28.49344002
